practice_name,canonical_code,postcode,street_address,latitude,longitude,telephone,website_url,accepting_new_patients,gtd_managed,gtd_site_name,gtd_site_url,nearby_to_gtd_anchors,nearby_anchor_count,source_search_centers,source_search_center_count,min_distance_to_gtd_anchor_miles,management_company_name,management_company_source,management_company_confidence,management_company_domain,management_company_group_size,google_review_score,google_review_count,google_review_source_note,google_review_source_url,google_maps_title,google_maps_match_score,google_recent_reviews_captured,google_review_text_file,trustpilot_score,trustpilot_review_count,trustpilot_source_url,nhs_profile_url
City Health Centre,Y02849,M1 1PL,"2Nd FL, 32 Market St, Manchester, Greater Manchester",53.4827,-2.24292,01618396227,https://www.gtdhealthcare.co.uk/cityhealthcentre,True,True,City Health Centre,https://www.gtdhealthcare.co.uk/cityhealthcentre,"City Health Centre, New Bank Health Centre, Simpson Medical Practice",3,"City Health Centre, New Bank Health Centre, Salford Quays supplemental search, Simpson Medical Practice, Stretford supplemental search",5,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,4.5,11,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/City+Health+Centre+GP+Practice/@53.4825395,-2.2476862,17z/data=!3m1!5s0x487bb1c72e83f029:0x7edf0a3a73637e7c!4m12!1m2!2m1!1sCity+Health+Centre+M1+1PL!3m8!1s0x487bb1c148acf38d:0x83165e13f66ce8c5!8m2!3d53.4825395!4d-2.2431801!9m1!1b1!15sChlDaXR5IEhlYWx0aCBDZW50cmUgTTEgMVBMkgEGZG9jdG9y4AEA!16s%2Fg%2F1tx_5xls?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",City Health Centre GP Practice,0.5,10,google-review-texts/Y02849-city-health-centre.txt,,,,https://www.nhs.uk/services/gp-surgery/city-health-centre/Y02849
New Bank Health,Y02960,M12 4JE,"339 Stockport Road, Longsight, Manchester, Greater Manchester",53.4601,-2.20437,01612775600,https://www.newbank.nhs.uk/,True,True,New Bank Health Centre,https://www.gtdhealthcare.co.uk/newbankhealthcentre,"City Health Centre, Droylsden Medical Practice, New Bank Health Centre",3,"City Health Centre, Droylsden Medical Practice, New Bank Health Centre",3,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,1.9,163,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/New+Bank+Health+Centre/@53.4601324,-2.2043921,17z/data=!4m8!3m7!1s0x487bb17e84858f39:0x92c8f1a09ad74b50!8m2!3d53.4601324!4d-2.2043921!9m1!1b1!16s%2Fg%2F1td5l7cn?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",New Bank Health Centre,1.0,1,google-review-texts/Y02960-new-bank-health.txt,,,,https://www.nhs.uk/services/gp-surgery/new-bank-health/Y02960
Guide Bridge Medical Practice,Y02713,M34 5HY,"Guide Lane, Audenshaw, Manchester, Greater Manchester",53.4716,-2.11327,01613442609,http://www.gtdhealthcare.co.uk/practice/4/guide-bridge-medical-practice.aspx,True,True,Guide Bridge Medical Practice,https://www.gtdhealthcare.co.uk/guidebridgemedicalpractice,"Ashton GP Service, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",8,"Ashton GP Service, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",8,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,1.8,116,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Guide+Bridge+Medical+Practice/@53.4715611,-2.1131739,17z/data=!4m8!3m7!1s0x487bb688cd91c7ed:0x897d5827a05c6294!8m2!3d53.4715611!4d-2.1131739!9m1!1b1!16s%2Fg%2F1hc1wklcj?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Guide Bridge Medical Practice,1.0,10,google-review-texts/Y02713-guide-bridge-medical-practice.txt,,,,https://www.nhs.uk/services/gp-surgery/guide-bridge-medical-practice/Y02713
Simpson Medical Practice,Y02520,M40 9NB,"361 Moston Lane, Moston, Manchester, Greater Manchester",53.514,-2.19802,01612035550,http://www.gtdhealthcare.co.uk/,True,True,Simpson Medical Practice,https://www.gtdhealthcare.co.uk/simpsonmedicalpractice,"Charlestown Medical Practice, Droylsden Medical Practice, Simpson Medical Practice",3,"Charlestown Medical Practice, Droylsden Medical Practice, Simpson Medical Practice",3,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,1.8,104,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Simpson+Medical+Practice/@53.5140746,-2.1971922,17z/data=!4m8!3m7!1s0x487bb0eef95987b7:0xa81f210c224ba536!8m2!3d53.5140746!4d-2.1971922!9m1!1b1!16s%2Fg%2F1hc1jffvq?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Simpson Medical Practice,1.0,10,google-review-texts/Y02520-simpson-medical-practice.txt,,,,https://www.nhs.uk/services/gp-surgery/simpson-medical-practice/Y02520
Droylsden Medical Practice,Y02663,M43 7NP,"1-3 Albion Drive, Droylsden, Manchester, Greater Manchester",53.4872,-2.14565,01619830110,https://www.gtdhealthcare.co.uk/droylsdenmedicalpractice,True,True,Droylsden Medical Practice,https://www.gtdhealthcare.co.uk/droylsdenmedicalpractice,"Ashton GP Service, Charlestown Medical Practice, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Simpson Medical Practice",6,"Ashton GP Service, Charlestown Medical Practice, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Simpson Medical Practice",6,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,1.8,85,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Droylsden+Medical+Practice/@53.4871991,-2.1465175,17z/data=!4m8!3m7!1s0x487bb6c58440e4cb:0x75e24dd8adf2ec4c!8m2!3d53.4871991!4d-2.1465175!9m1!1b1!16s%2Fg%2F1hc0tdrq9?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Droylsden Medical Practice,1.0,10,google-review-texts/Y02663-droylsden-medical-practice.txt,,,,https://www.nhs.uk/services/gp-surgery/droylsden-medical-practice/Y02663
Charlestown MD,Y02325,M9 7ED,"Charlestown Road, Blackley, Manchester, Greater Manchester",53.5226,-2.18689,01612415309,https://charlestownmedicalpractice.co.uk/,True,True,Charlestown Medical Practice,https://www.gtdhealthcare.co.uk/charlestownmedicalpractice,"Charlestown Medical Practice, Droylsden Medical Practice, Lindley Medical Practice, Simpson Medical Practice",4,"Charlestown Medical Practice, Droylsden Medical Practice, Lindley Medical Practice, Simpson Medical Practice",4,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,1.9,109,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Charlestown+Medical+Practice/@53.5229151,-2.1910751,17z/data=!4m8!3m7!1s0x487bb1fb94ec04df:0xb09f70b210cc2eaf!8m2!3d53.5229151!4d-2.1910751!9m1!1b1!16s%2Fg%2F11fhz0v371?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Charlestown Medical Practice,0.5,10,google-review-texts/Y02325-charlestown-md.txt,,,,https://www.nhs.uk/services/gp-surgery/charlestown-md/Y02325
Lindley House Health Centre,Y02875,OL1 1NL,"Integrated Care Centre, New Radcliffe Street, Oldham, Lancashire",53.5438,-2.11693,01613373467,http://www.gtdhealthcare.co.uk/practice/lindley-medical-practice-,True,True,Lindley Medical Practice,https://www.gtdhealthcare.co.uk/lindleymedicalpractice,"Lindley Medical Practice, Mossley Medical Practice",2,"Lindley Medical Practice, Mossley Medical Practice, Rochdale central supplemental search",3,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,2.1,66,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Lindley+Medical+Practice/@53.5437506,-2.1168654,17z/data=!3m1!5s0x487bb77e3916bf0d:0x93f66a947f64144a!4m8!3m7!1s0x487bb77e6d5f7eaf:0x761d2e16913ca806!8m2!3d53.5437506!4d-2.1168654!9m1!1b1!16s%2Fg%2F1x5qsb8f?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Lindley Medical Practice,0.5,10,google-review-texts/Y02875-lindley-house-health-centre.txt,,,,https://www.nhs.uk/services/gp-surgery/lindley-house-health-centre/Y02875
Mossley Medical Practice,P89612,OL5 9AB,"187 Manchester Road, Mossley, Ashton-under-Lyne, Lancashire",53.514,-2.04062,01457833315,,True,True,Mossley Medical Practice,https://www.gtdhealthcare.co.uk/mossleymedicalpractice,"Ashton GP Service, Gordon Street Medical Centre, Hattersley Group Practice, Lindley Medical Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",7,"Ashton GP Service, Gordon Street Medical Centre, Hattersley Group Practice, Lindley Medical Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",7,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,3.7,16,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Mossley+Medical+Practice/@53.5144566,-2.0408384,17z/data=!4m8!3m7!1s0x487bc83a62dc34c7:0x9cd16cd821c6b310!8m2!3d53.5144566!4d-2.0408384!9m1!1b1!16s%2Fg%2F1tl_l89h?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Mossley Medical Practice,1.0,10,google-review-texts/P89612-mossley-medical-practice.txt,,,,https://www.nhs.uk/services/gp-surgery/mossley-medical-practice/P89612
Gordon Street Medical Centre,P89011,OL6 6NE,"171 Mossley Road, Ashton-under-Lyne",53.4929,-2.07804,01613305104,https://www.gtdhealthcare.co.uk/gordonstreetmedicalcentre,True,True,Gordon Street Medical Centre,https://www.gtdhealthcare.co.uk/gordonstreetmedicalcentre,"Ashton GP Service, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Hattersley Group Practice, Lindley Medical Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",9,"Ashton GP Service, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Hattersley Group Practice, Lindley Medical Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",9,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,1.5,86,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Gordon+Street+Medical+Centre/@53.4928013,-2.0784198,17z/data=!4m8!3m7!1s0x487bb6370b268007:0xea02af1ba0049521!8m2!3d53.4928013!4d-2.0784198!9m1!1b1!16s%2Fg%2F1jkw6bds6?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Gordon Street Medical Centre,1.0,10,google-review-texts/P89011-gordon-street-medical-centre.txt,,,,https://www.nhs.uk/services/gp-surgery/gordon-street-medical-centre/P89011
Ashton Gp Service,Y02586,OL6 7SR,"Ashton Primary Care Centre, 193 Old Street, Ashton Under Lyne, Lancashire",53.4858,-2.09997,01619830530,http://www.gtdhealthcare.co.uk/practice/ashton-gp-led-health-centre,True,True,Ashton GP Service,https://www.gtdhealthcare.co.uk/ashtongpservice,"Ashton GP Service, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",8,"Ashton GP Service, Droylsden Medical Practice, Gordon Street Medical Centre, Guide Bridge Medical Practice, Hattersley Group Practice, Millbrook Medical Practice, Mossley Medical Practice, The Smithy Surgery",8,0.0,GTD Healthcare,gtd_anchor_match,high,gtdhealthcare.co.uk,14,1.8,91,Google Maps direct search with visible recent reviews,"https://www.google.com/maps/place/Ashton+GP+Service/@53.4861273,-2.0991704,17z/data=!3m1!5s0x487bb65b8c15f9e1:0xe1ccd1c5ff84a66f!4m8!3m7!1s0x487bb65b2dc828b1:0x39157bbddac5b765!8m2!3d53.4861273!4d-2.0991704!9m1!1b1!16s%2Fg%2F1hc7fgn3k?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D",Ashton GP Service,1.0,10,google-review-texts/Y02586-ashton-gp-service.txt,,,,https://www.nhs.uk/services/gp-surgery/ashton-gp-service/Y02586
