practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,google_maps_query
DR. CROSSIN & PARTNERS,Z00061,BT1 2JR,"CARRICK HILL MEDICAL CENTRE, 1 CARRICK HILL, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00061,2022-02-28,,DR. CROSSIN & PARTNERS BT1 2JR
DR. MONAGHAN & PARTNERS,Z00151,BT10 0BX,"THE IRWIN PRACTICE, FINAGHY HEALTH CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00151,2024-05-20,,DR. MONAGHAN & PARTNERS BT10 0BX
DR. COYLE & PARTNER,Z00063,BT11 9EA,"WILLOW MEDICAL PRACTICE, 155A ANDERSONSTOWN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00063,2023-02-20,,DR. COYLE & PARTNER BT11 9EA
DR. DUGAN & PARTNER,Z00113,BT11 9EA,"DR DUGAN'S SURGERY, 173 ANDERSTOWNSTOWN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00113,2021-11-17,,DR. DUGAN & PARTNER BT11 9EA
DR. MCFERRAN & PARTNERS,Z00092,BT11 9EA,"BALLYOWEN HEALTH CENTRE, 179 ANDERSONSTOWN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00092,2022-02-28,,DR. MCFERRAN & PARTNERS BT11 9EA
DR. SAHU & PARTNERS,Z00156,BT11 9EA,"BALLYOWEN HEALTH CENTRE, 179 ANDERSONSTOWN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00156,2024-11-15,,DR. SAHU & PARTNERS BT11 9EA
DR. THOMPSON & PARTNERS,Z00114,BT11 9FZ,"HILLHEAD FAMILY PRACTICE, 33 STEWARTSTOWN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00114,2023-08-21,,DR. THOMPSON & PARTNERS BT11 9FZ
DR. CAMPBELL & PARTNER,Z00057,BT12 4HL,"MCHUGH - CAMPBELL PRACTICE, MAUREEN SHEEHAN CENTRE BUILD 2, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00057,2022-02-28,,DR. CAMPBELL & PARTNER BT12 4HL
DR. DONAGHY & PARTNERS,Z00064,BT12 4LP,"DUNVILLE HEALTH CENTRE, 309 GROSVENOR ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00064,2021-09-17,,DR. DONAGHY & PARTNERS BT12 4LP
DR. KELLY & PARTNER,Z00101,BT12 5EY,"VERE FOSTER MEDICAL GROUP, 132-136 SANDY ROW, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00101,2023-08-21,,DR. KELLY & PARTNER BT12 5EY
DR. KILLINER & PARTNERS,Z00145,BT12 5JJ,"KENSINGTON GROUP PRACTICE, KENSINGTON MEDICAL CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00145,2021-09-16,,DR. KILLINER & PARTNERS BT12 5JJ
DR. MCCLOSKEY & PARTNERS,Z00075,BT12 5LT,"GROSVENOR ROAD SURGERY, 216 GROSVENOR ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00075,2021-09-16,,DR. MCCLOSKEY & PARTNERS BT12 5LT
DR. CUMMINGS & PARTNERS,Z00094,BT12 6AA,"FALLS FAMILY DOCTORS, 115 FALLS ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00094,2024-02-19,,DR. CUMMINGS & PARTNERS BT12 6AA
DR. JOHNSTON & PARTNERS,Z00084,BT12 6AG,"BROADWAY MEDICAL PRACTICE, FALLS ROAD SURGERY, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00084,2025-05-16,,DR. JOHNSTON & PARTNERS BT12 6AG
DR. MCKENNA & PARTNER,Z00111,BT12 6AP,"THAMES STREET FAMILY PRACTICE, 2 THAMES STREET, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00111,2025-02-24,,DR. MCKENNA & PARTNER BT12 6AP
DR. COLGAN,Z00053,BT12 6DD,"FALLS ROAD SURGERY, 463 FALLS ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00053,2022-02-28,,DR. COLGAN BT12 6DD
DR. LOGAN & PARTNERS,Z00079,BT12 7AH,"SPRINGFIELD ROAD SURGERY, 70 SPRINGFIELD ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00079,2021-09-16,,DR. LOGAN & PARTNERS BT12 7AH
DR. MCHUGH & PARTNERS,Z00081,BT12 7AH,"SPRINGFIELD MEDICAL CENTRE, 44-46 SPRINGFIELD ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00081,2021-09-20,,DR. MCHUGH & PARTNERS BT12 7AH
DR. CURRAN,Z00116,BT12 7AP,"CROCUS STREET SURGERY, 1 CROCUS STREET, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00116,2025-05-16,,DR. CURRAN BT12 7AP
DR. LEAVY & PARTNERS,Z00071,BT12 7DN,"SPRINGVALE MEDICAL PRACTICE, 463 SPRINGFIELD ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00071,2021-09-16,,DR. LEAVY & PARTNERS BT12 7DN
DR. MAGUIRE & PARTNERS,Z00103,BT13 1AD,"CLIFTON STREET SURGERY, 15/17 CLIFTON STREET, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00103,2021-09-20,,DR. MAGUIRE & PARTNERS BT13 1AD
DR. MACONACHIE & PARTNERS,Z00105,BT13 1FD,"CHURCH VIEW MEDICAL PRACTICE, CORNERSTONE MEDICAL CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00105,2025-11-14,,DR. MACONACHIE & PARTNERS BT13 1FD
