practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,registered_patient_count_source,registered_patient_count_source_url,registered_patient_count_snapshot,google_maps_query
ALBYN MEDICAL PRACTICE,S30909,AB10 1NW,"THE ALBYN MEDICAL PRACTICE, 30 ALBYN PLACE, ABERDEEN",01224 586829,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30909,2022-08-18,12159,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,ALBYN MEDICAL PRACTICE AB10 1NW
RUBISLAW PLACE MEDICAL GROUP,S30951,AB10 1QB,"RUBISLAW MEDICAL GROUP, 7 RUBISLAW PLACE, ABERDEEN",01224 641968,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30951,2022-08-18,8274,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,RUBISLAW PLACE MEDICAL GROUP AB10 1QB
NEWBURN HEALTH CENTRE,S30078,AB10 1UT,"CARDEN HOUSE, CARDEN PLACE, ABERDEEN",03450 130740,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30078,2024-03-18,19733,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,NEWBURN HEALTH CENTRE AB10 1UT
HOLBURN MEDICAL GROUP,S30059,AB10 1YE,"7 ALBYN PLACE, ABERDEEN",01224 400800,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30059,2022-08-18,9128,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,HOLBURN MEDICAL GROUP AB10 1YE
GARTHDEE MEDICAL GROUP,S30030,AB10 7QQ,"HEALTH CENTRE, GARTHDEE ROAD, ABERDEEN",01224 208312,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30030,2023-01-16,9819,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,GARTHDEE MEDICAL GROUP AB10 7QQ
WHINHILL MEDICAL PRACTICE,S30097,AB11 7XH,"20 WHINHILL ROAD, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30097,2023-05-16,9883,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,WHINHILL MEDICAL PRACTICE AB11 7XH
TORRY MEDICAL PRACTICE,S30311,AB11 8ER,"TORRY NEIGHBOURHOOD CENTRE, OSCAR ROAD, ABERDEEN",,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30311,2023-05-16,6885,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,TORRY MEDICAL PRACTICE AB11 8ER
PORTLETHEN MEDICAL CENTRE,S32411,AB12 4QP,"PORTLETHEN, ABERDEEN",03450 130720,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S32411,2022-08-24,16076,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,PORTLETHEN MEDICAL CENTRE AB12 4QP
KINCORTH MEDICAL PRACTICE,S30401,AB12 5NA,"KINCORTH COMMUNITY HEALTH CENTRE, PROVOST WATT DRIVE, ABERDEEN",03453 371170,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30401,2022-08-24,14628,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,KINCORTH MEDICAL PRACTICE AB12 5NA
PETERCULTER MEDICAL PRACTICE,S31244,AB14 0RP,"PETERCULTER HEALTH CENTRE, CORONATION ROAD, PETERCULTER",01224 733535,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31244,2022-08-18,7744,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,PETERCULTER MEDICAL PRACTICE AB14 0RP
HAMILTON MEDICAL GROUP,S30218,AB15 4ZT,"4 QUEENS ROAD, ABERDEEN",01224 562888,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30218,2022-08-18,9499,nhs_scotland_gp_practice_contact_details_and_list_sizes,https://www.opendata.nhs.scot/dataset/f23655c3-6e23-4103-a511-a80d998adb90/resource/ceddbf27-0686-4f4b-b9a2-0090d28c3864/download/practice_contact_details_20260101_opendata.csv,20260101,HAMILTON MEDICAL GROUP AB15 4ZT
OPHTHALMIC PRESCRIBING,S34971,AB15 6LS,"PRIMARY CARE CONTRACTS TEAM, WESTHOLME, ABERDEEN",01224 556502,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S34971,2023-01-13,,,,,OPHTHALMIC PRESCRIBING AB15 6LS
PHARMACY FIRST PLUS AC,S30025,AB15 6LS,"PHARMACY AND MEDICINES DIRECTORATE, WESTHOLME, ABERDEEN",01224 556768,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO72",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30025,2022-11-18,,,,,PHARMACY FIRST PLUS AC AB15 6LS
PHARMACY FIRST PLUS AS,S31494,AB15 6LS,"PHARMACY AND MEDICINES DIRECTORATE, WESTHOLME, ABERDEEN",01224 556768,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO72",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S31494,2022-11-18,,,,,PHARMACY FIRST PLUS AS AB15 6LS
PHARMACY FIRST PLUS MORAY,S33076,AB15 6LS,"PHARMACY AND MEDICINES DIRECTORATE, WESTHOLME, WOODEND HOSPITAL, ABERDEEN",01224 556763,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO72",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S33076,2022-11-18,,,,,PHARMACY FIRST PLUS MORAY AB15 6LS
DIABETIC NURSE SERVICE,S30167,AB15 6RE,"NURSING DIRECTORATE, GRAMPIAN HEALTH, ABERDEEN",01224 558427,,,,,,,SCOTLAND,scotland,ods_scottish_gp_practice,RO227,SCOTTISH GP PRACTICE,"RO227,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/S30167,2023-01-13,,,,,DIABETIC NURSE SERVICE AB15 6RE
