practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,registered_patient_count_source,registered_patient_count_source_url,registered_patient_count_snapshot,patient_survey_name,patient_survey_status,patient_survey_level,patient_survey_url,patient_survey_note,google_maps_query
CORPORATION ROAD (DRS SURGERY),W97063,CF10 5FR,"UNIT 2 GROUND FLOOR, OCEAN HOUSE, CARDIFF",02922 930501,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97063,2024-06-13,3198,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CORPORATION ROAD (DRS SURGERY) CF10 5FR
BUTETOWN MEDICAL PRACTICE,W97291,CF10 5HW,"LOUDOUN, PLAS IONA, CARDIFF",029 20483126,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97291,2023-08-22,10224,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",BUTETOWN MEDICAL PRACTICE CF10 5HW
GRANGE MEDICAL PRACTICE,W97061,CF11 6PG,"BISHOP STREET, CARDIFF",029 20226057,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97061,2023-08-22,10951,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",GRANGE MEDICAL PRACTICE CF11 6PG
CLARE ROAD MEDICAL CENTRE,W97299,CF11 6RW,"148-152 CLARE ROAD, CARDIFF",029 20388081,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97299,2023-08-22,5323,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CLARE ROAD MEDICAL CENTRE CF11 6RW
CARDIFF BAY SURGERY,W97044,CF11 7DJ,"45 CAMBRIDGE STREET, GRANGETOWN, CARDIFF",02920 099378,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97044,2023-08-22,8699,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",CARDIFF BAY SURGERY CF11 7DJ
GRANGETOWN HEALTH CENTRE,W97616,CF11 7DJ,"CAMBRIDGE STREET, GRANGETOWN, CARDIFF",029 20342728,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97616,2023-08-22,4417,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",GRANGETOWN HEALTH CENTRE CF11 7DJ
MEDDYGFA LANSDOWNE SURGERY,W97031,CF11 8DG,"AFON ELAI PARTNERSHIP, SANATORIUM ROAD, CARDIFF",029 20395115,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97031,2023-11-23,15890,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",MEDDYGFA LANSDOWNE SURGERY CF11 8DG
THE SURGERY,W97018,CF11 9DN,"ST DAVIDS COURT, 68A COWBRIDGE ROAD EAST, CARDIFF",029 20379510,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97018,2023-08-22,5193,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",THE SURGERY CF11 9DN
KINGS ROAD (DRS SURGERY),W97067,CF11 9DQ,"180 KINGS ROAD, CARDIFF",029 20388803,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97067,2023-08-22,5448,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",KINGS ROAD (DRS SURGERY) CF11 9DQ
MEDDYGFA CANNA SURGERY,W97296,CF11 9EE,"27 WYNDHAM CRESCENT, CARDIFF",029 20390722,,,,,,,WALES,wales,ods_gp_practice,RO177,PRESCRIBING COST CENTRE,"RO177,RO76",https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/W97296,2023-08-22,8663,statswales_hlth0426,https://statswales.gov.wales/Download/File?fileName=HLTH0426.zip,202504,People's Experience Survey,equivalent_identified_not_yet_wired,national_framework,https://www.gov.wales/peoples-experience-framework,"Primary-care patient-experience framework exists, but this builder does not yet pull a practice-level Wales survey feed.",MEDDYGFA CANNA SURGERY CF11 9EE
