practice_name,site_name,ods_code,address_1,locality,city,postcode,latitude,longitude,practice_website,cqc_overall_rating,cqc_provider_note,healthsay_score_100,gpps_overall_experience_pct,gpps_contact_experience_pct,patients_per_gp_fte,gpratings_label,gpratings_count,google_review_score_estimate,google_review_count_estimate,google_review_source,google_verified_direct,notes,distance_miles_from_new_bank,within_1_mile,within_1_1_miles,radius_bucket,nhs_linked_gp,map_label
New Bank Health Centre,New Bank Health Centre,Y02960,339 Stockport Road,Longsight,Manchester,M12 4JE,53.460123323103,-2.2043841286073,https://newbank.nhs.uk/,Not yet inspected by current provider; inherited Good from previous provider,Current provider GoToDoc Limited registered 2025-07-08; CQC page says inherited ratings from previous provider.,66,67.0,64.0,2459,,,,,,False,Officially NHS-linked GP practice. Google review figure was not reliably verifiable from publicly indexable sources.,0.0,True,True,<=1.0 mile,True,New Bank Health Centre (0.0 mi)
Manchester Integrative Medical Practice,Longsight Health Centre,P84689,526-528 Stockport Road,Longsight,Manchester,M13 0RR,53.4576,-2.2019,https://www.longsightmedicalpractice.com,Good,Service location Longsight Health Centre is rated Good by CQC.,63,67.0,53.0,1621,,,2.2,91.0,Birdeye search snippet; not direct Google verification,False,"Google estimate came from a third-party aggregator snippet, not a directly verifiable Google Maps fetch.",0.202,True,True,<=1.0 mile,True,Manchester Integrative Medical Practice (0.202 mi)
Dickenson Road Medical Centre,Dickenson Road Medical Centre,P84026,357-359 Dickenson Road,Longsight,Manchester,M13 0WQ,53.456107,-2.202285,https://www.dickensonroadmc.nhs.uk/,Good,Current CQC profile shows overall Good.,52,54.6,47.6,2093,,,,,,False,Worst HealthSay score among the <=1 mile set in the available indexed data.,0.291,True,True,<=1.0 mile,True,Dickenson Road Medical Centre (0.291 mi)
Ailsa Craig Medical Centre,Ailsa Craig Medical Centre,P84009,270 Dickenson Road,Longsight,Manchester,M13 0YL,53.454175,-2.208542,https://www.ailsacraigmedicalpractice.co.uk/,Good,Current CQC profile shows overall Good.,72,75.9,62.9,1845,,,,,,False,,0.445,True,True,<=1.0 mile,True,Ailsa Craig Medical Centre (0.445 mi)
West Gorton Medical Practice,West Gorton Medical Centre,P84052,2 Clowes Street,West Gorton,Manchester,M12 5JE,53.467205,-2.203859,https://westgortonmedicalcentre.co.uk/,Outstanding,Current CQC profile shows overall Outstanding.,100,88.0,74.0,1004,,,,,,False,Best overall CQC/HealthSay combination in this radius-filtered set.,0.49,True,True,<=1.0 mile,True,West Gorton Medical Practice (0.49 mi)
Surrey Lodge Practice,Surrey Lodge Group Practice,P84023,11 Anson Road,Victoria Park,Manchester,M14 5BY,53.458264,-2.218728,https://surreylodge.co.uk/,Good,Current CQC profile shows overall Good.,80,78.0,84.0,1832,,,2.6,128.0,Birdeye search snippet; not direct Google verification,False,Google estimate came from a third-party aggregator snippet.,0.604,True,True,<=1.0 mile,True,Surrey Lodge Practice (0.604 mi)
Parkside Surgery,Parkside Medical Centre,P84644,187 Northmoor Road,Longsight,Manchester,M12 5RU,53.453189,-2.190843,https://www.parksidemedical.org.uk/,Good,Current CQC profile shows overall Good.,65,69.0,55.0,2296,Bad!,79.0,,,,False,GPRatings has 79 patient reviews; no directly verifiable Google Maps score surfaced in indexed results.,0.735,True,True,<=1.0 mile,True,Parkside Surgery (0.735 mi)
Wilmslow Road Surgery,Wilmslow Road Medical Centre,P84626,156 Wilmslow Road,Rusholme,Manchester,M14 5LQ,53.4522,-2.2228,https://www.wilmslowroadmedicalcentre.co.uk/,Good,Current CQC profile shows overall Good.,65,66.0,63.0,2313,No ratings yet,0.0,,,,False,,0.935,True,True,<=1.0 mile,True,Wilmslow Road Surgery (0.935 mi)
The Robert Darbishire Practice,The Robert Darbishire Practice,P84072,"Rusholme Health Centre, Walmer Street",Rusholme,Manchester,M14 5NP,53.454626,-2.226177,https://rdp.org.uk/,Good,Current CQC profile shows overall Good.,61,60.0,63.0,2099,Poor!,79.0,2.5,234.0,Yably search snippet; not direct Google verification,False,"Third-party snippets disagree on total review counts across all sources, but the indexed Google-specific estimate was 2.5/5 from 234 reviews.",0.974,True,True,<=1.0 mile,True,The Robert Darbishire Practice (0.974 mi)
Ardwick Medical Practice,Ardwick Medical Practice,P84037,"The Vallance Centre, Wadeson Road",Chorlton-on-Medlock,Manchester,M13 9UJ,53.469802,-2.22454,,Good,Current CQC profile indicates the practice is an inspected CQC-registered GP service.,72,76.0,65.0,1473,,,,,,False,"Just outside 1.0 mile from New Bank, but included because it is within the user's 'mile or so' wording.",1.065,False,True,1.0-1.1 miles,True,Ardwick Medical Practice (1.065 mi)
Brunswick Medical Practice,Brunswick Medical Practice,P84611,"The Vallance Centre, Wadeson Road",Chorlton-on-Medlock,Manchester,M13 9UJ,53.469802,-2.22454,,Good,Current CQC profile shows overall Good.,86,88.0,80.0,2371,,,,,,False,"Just outside 1.0 mile from New Bank, but included because it is within the user's 'mile or so' wording.",1.065,False,True,1.0-1.1 miles,True,Brunswick Medical Practice (1.065 mi)
Vallance Medical,Vallance Medical,P84005,"The Vallance Centre, Brunswick Street",Chorlton-on-Medlock,Manchester,M13 9UJ,53.469802,-2.22454,https://www.vallancemedical.nhs.uk/,Good,Current CQC profile shows overall Good.,78,74.0,88.0,3363,,,,,,False,"Just outside 1.0 mile from New Bank, but included because it is within the user's 'mile or so' wording.",1.065,False,True,1.0-1.1 miles,True,Vallance Medical (1.065 mi)
